               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12531,            0.030082,            0.029716,                   0,                   0,                   0,                   0,             0.12474,            0.030937,            0.030817,              0.0973,              0.0003,              0.0003
                   1,             0.12213,            0.028999,            0.028849,          0.00020559,             0.03125,          0.00011042,          1.1042e-05,             0.11999,            0.027893,            0.029431,            0.093691,          0.00069134,          0.00069134
                   2,             0.11729,            0.028841,            0.027849,          0.00056327,             0.09375,          0.00034712,           8.202e-05,             0.11382,            0.025513,            0.027332,            0.090073,           0.0010728,           0.0010728
                   3,             0.11136,            0.029127,             0.02566,          0.00082727,             0.15625,          0.00063447,          0.00015437,              0.1056,            0.024433,            0.025006,            0.086444,           0.0014443,           0.0014443
                   4,             0.10355,            0.029428,            0.023224,           0.0015152,              0.3125,             0.00126,          0.00035805,             0.10164,            0.024021,             0.02323,            0.082806,           0.0018059,           0.0018059
                   5,            0.098927,            0.028126,            0.021205,           0.0018207,             0.40625,           0.0027551,          0.00087424,            0.096691,            0.023682,            0.021222,            0.079158,           0.0021577,           0.0021577
                   6,            0.096763,            0.029631,            0.020392,           0.0016671,             0.40625,           0.0031417,          0.00087059,            0.099879,             0.02169,            0.019141,              0.0755,           0.0024995,           0.0024995
                   7,            0.095529,            0.030538,            0.018733,           0.0016428,              0.4375,            0.014167,           0.0047824,            0.091943,            0.022095,            0.017339,            0.071831,           0.0028315,           0.0028315
                   8,            0.089101,            0.031212,            0.016969,           0.0014567,             0.40625,              0.0254,           0.0062195,            0.094455,            0.020561,            0.015865,            0.068154,           0.0031535,           0.0031535
                   9,            0.086759,            0.027041,            0.015561,           0.0015028,              0.4375,            0.026389,            0.011162,             0.09626,            0.019604,            0.014632,            0.064466,           0.0034656,           0.0034656
                  10,            0.086875,            0.026249,            0.014658,           0.0014944,              0.4375,            0.068504,            0.022822,            0.087601,            0.020496,             0.01431,            0.060768,           0.0037679,           0.0037679
                  11,            0.087534,            0.025767,            0.014082,           0.0031161,             0.40625,            0.030483,           0.0087581,             0.09329,            0.019104,            0.013605,             0.05706,           0.0040602,           0.0040602
                  12,            0.085572,            0.024235,            0.013939,             0.56416,             0.40625,             0.24472,            0.076072,            0.095393,            0.017818,            0.013133,            0.053343,           0.0043426,           0.0043426
                  13,            0.087904,             0.02414,            0.014082,           0.0062114,              0.4375,            0.037661,           0.0092732,            0.099596,            0.016407,            0.012715,            0.049615,           0.0046152,           0.0046152
                  14,            0.082618,            0.025078,            0.012769,             0.53684,             0.34375,            0.033732,           0.0060593,            0.096131,            0.016235,            0.012726,            0.045878,           0.0048778,           0.0048778
                  15,            0.089382,            0.023186,             0.01322,             0.75756,              0.3125,             0.28934,            0.094959,             0.08762,            0.016769,            0.012453,            0.042131,           0.0051306,           0.0051306
                  16,            0.081254,             0.02255,            0.011959,             0.55209,             0.28125,            0.061466,            0.013624,              0.0955,            0.015476,            0.012315,            0.038373,           0.0053734,           0.0053734
                  17,            0.074784,            0.026255,            0.012198,             0.56446,                0.25,            0.072395,            0.022309,            0.099103,            0.014854,            0.011987,            0.034606,           0.0056063,           0.0056063
                  18,            0.086675,            0.020675,            0.012415,             0.68065,             0.38912,             0.16296,            0.045951,            0.094961,            0.015381,            0.012007,            0.030829,           0.0058294,           0.0058294
                  19,            0.085129,            0.021826,             0.01155,             0.58209,              0.3125,            0.070346,            0.021164,             0.10087,            0.014278,            0.011526,            0.027043,           0.0060425,           0.0060425
                  20,            0.078378,            0.020671,            0.011499,             0.61066,             0.28428,             0.12309,            0.034004,              0.1004,            0.013741,             0.01126,            0.023246,           0.0062457,           0.0062457
                  21,            0.081901,            0.020638,             0.01116,             0.69591,             0.34375,             0.18574,            0.067369,            0.076101,            0.016335,            0.011263,            0.019439,           0.0064391,           0.0064391
                  22,            0.083576,            0.020645,              0.0105,             0.62649,                0.25,             0.10826,            0.038843,            0.094269,            0.013672,              0.0111,            0.015623,           0.0066225,           0.0066225
                  23,             0.08023,            0.020471,            0.010695,              0.6999,              0.3125,             0.22665,            0.095593,            0.083251,            0.014427,            0.011131,            0.011796,           0.0067961,           0.0067961
                  24,            0.079365,            0.019063,            0.010876,             0.62634,              0.3125,             0.12446,             0.04702,            0.090544,            0.012959,            0.011108,           0.0079597,           0.0069597,           0.0069597
                  25,            0.076587,            0.021415,            0.010824,             0.74302,                0.25,             0.25099,             0.11696,            0.079211,            0.014263,            0.011181,           0.0069063,           0.0069063,           0.0069063
                  26,            0.077087,            0.019621,            0.011549,             0.81206,             0.25995,              0.3114,             0.12189,            0.084659,             0.01309,            0.011048,           0.0069063,           0.0069063,           0.0069063
                  27,            0.074532,            0.019081,            0.010525,             0.84354,             0.27489,             0.35494,             0.17174,            0.076641,            0.013744,            0.011164,           0.0067825,           0.0067825,           0.0067825
                  28,            0.076945,            0.021073,            0.010886,             0.18088,               0.375,             0.29401,             0.11556,            0.076797,            0.013447,            0.010947,           0.0066587,           0.0066587,           0.0066587
                  29,            0.076161,            0.021341,            0.010571,             0.31951,             0.44196,             0.36519,             0.14296,            0.083806,            0.011732,            0.010658,            0.006535,            0.006535,            0.006535
                  30,            0.075417,            0.018003,            0.010071,             0.32139,             0.40625,             0.42225,              0.2082,            0.075039,            0.012676,            0.010549,           0.0064112,           0.0064112,           0.0064112
                  31,            0.068974,            0.018471,             0.00954,             0.40722,             0.47768,             0.38227,             0.13812,            0.084307,            0.011349,            0.010303,           0.0062875,           0.0062875,           0.0062875
                  32,            0.070605,            0.022368,            0.010151,             0.31121,             0.46879,             0.39301,             0.17704,            0.072439,            0.012484,            0.010261,           0.0061637,           0.0061637,           0.0061637
                  33,            0.066245,            0.020011,            0.010052,             0.33245,             0.47768,             0.38918,             0.14757,            0.084625,            0.010845,            0.010081,             0.00604,             0.00604,             0.00604
                  34,            0.070483,            0.017988,           0.0094142,             0.30803,             0.54464,             0.42985,             0.18713,            0.071304,            0.012094,            0.010065,           0.0059163,           0.0059163,           0.0059163
                  35,            0.071303,            0.016748,           0.0097023,             0.42567,             0.61032,             0.47846,             0.19592,            0.077165,            0.011127,            0.010023,           0.0057925,           0.0057925,           0.0057925
                  36,            0.067099,            0.018062,           0.0097367,             0.45809,             0.54911,             0.51874,             0.22572,            0.068149,            0.011774,           0.0098854,           0.0056688,           0.0056688,           0.0056688
                  37,             0.06653,            0.017472,           0.0099234,             0.44893,              0.6875,             0.48152,             0.20166,            0.077654,            0.010477,           0.0097214,            0.005545,            0.005545,            0.005545
                  38,            0.068834,            0.013573,           0.0094638,             0.50966,             0.52932,             0.46203,             0.17387,            0.068114,             0.01145,           0.0096481,           0.0054212,           0.0054212,           0.0054212
                  39,            0.062864,            0.016511,           0.0085171,             0.53747,              0.6875,             0.54244,             0.20852,            0.076495,            0.010218,           0.0095917,           0.0052975,           0.0052975,           0.0052975
                  40,             0.06266,            0.014569,           0.0082457,             0.59683,             0.61607,             0.58737,             0.23419,            0.066239,            0.011114,            0.009565,           0.0051737,           0.0051737,           0.0051737
                  41,            0.062098,             0.01618,           0.0088904,             0.56229,             0.71889,             0.56378,             0.15957,            0.076951,           0.0099335,           0.0094177,             0.00505,             0.00505,             0.00505
                  42,            0.064411,            0.017484,           0.0082085,             0.62658,             0.57289,             0.58236,             0.22948,            0.066322,            0.010559,           0.0092941,           0.0049263,           0.0049263,           0.0049263
                  43,            0.060124,            0.017191,           0.0087446,             0.48365,               0.625,             0.59059,             0.19072,            0.074182,           0.0099564,           0.0093597,           0.0048025,           0.0048025,           0.0048025
                  44,            0.061303,            0.014576,           0.0075897,             0.61584,              0.6875,             0.61086,             0.26085,            0.063251,            0.010365,           0.0092056,           0.0046788,           0.0046788,           0.0046788
                  45,            0.060961,            0.014432,           0.0077571,             0.55479,             0.61607,             0.56551,              0.2109,            0.073087,           0.0096226,           0.0091415,            0.004555,            0.004555,            0.004555
                  46,            0.062412,            0.012676,           0.0076076,             0.64881,             0.65179,             0.61236,             0.25244,            0.061562,            0.010231,           0.0090561,           0.0044313,           0.0044313,           0.0044313
                  47,            0.058247,            0.015079,           0.0081392,             0.63111,             0.66042,             0.62567,             0.24057,            0.071056,           0.0095024,           0.0089996,           0.0043075,           0.0043075,           0.0043075
                  48,            0.059487,            0.014381,            0.007389,             0.63958,             0.65179,             0.66736,              0.2604,            0.061959,           0.0099545,           0.0088684,           0.0041837,           0.0041837,           0.0041837
                  49,            0.057022,            0.014452,           0.0082408,             0.56367,             0.67821,             0.70401,             0.24615,            0.071532,           0.0094223,            0.008905,             0.00406,             0.00406,             0.00406
                  50,             0.06108,            0.013307,           0.0074917,             0.64691,             0.68411,             0.66028,             0.26619,            0.061275,           0.0098476,           0.0087448,           0.0039362,           0.0039362,           0.0039362
                  51,            0.054808,            0.013505,           0.0078874,             0.64409,             0.74559,             0.73757,             0.27243,            0.068676,           0.0093555,           0.0087399,           0.0038125,           0.0038125,           0.0038125
                  52,            0.056089,            0.013656,           0.0078195,             0.67175,             0.67334,              0.6399,             0.24117,            0.060926,           0.0096874,           0.0086178,           0.0036888,           0.0036888,           0.0036888
                  53,            0.056652,            0.012965,           0.0075698,             0.60827,             0.79018,             0.70293,             0.25749,            0.066084,           0.0093975,           0.0086979,            0.003565,            0.003565,            0.003565
                  54,            0.053297,            0.014033,           0.0074144,             0.71328,             0.70782,             0.71373,              0.2855,            0.059873,           0.0096073,           0.0086426,           0.0034413,           0.0034413,           0.0034413
                  55,            0.056296,            0.013625,           0.0078552,             0.62031,             0.79018,             0.73609,             0.24659,            0.067129,           0.0091515,            0.008699,           0.0033175,           0.0033175,           0.0033175
                  56,            0.051152,            0.013426,           0.0072497,             0.65336,             0.82151,             0.80019,             0.32873,            0.058528,           0.0095062,           0.0085983,           0.0031938,           0.0031938,           0.0031938
                  57,            0.056679,            0.013391,           0.0074555,             0.61282,             0.75609,             0.71307,              0.2618,            0.065408,            0.009222,           0.0085884,             0.00307,             0.00307,             0.00307
                  58,            0.052074,            0.013647,           0.0069581,             0.67601,             0.74178,              0.7528,             0.32628,             0.05884,           0.0093575,            0.008474,           0.0029462,           0.0029462,           0.0029462
                  59,             0.05392,            0.014117,            0.008175,             0.65222,             0.65179,             0.65199,             0.20292,            0.065803,           0.0091267,           0.0084949,           0.0028225,           0.0028225,           0.0028225
                  60,            0.053139,            0.012474,           0.0067794,             0.72477,             0.78851,             0.78624,              0.2885,            0.058381,           0.0093021,           0.0084209,           0.0026987,           0.0026987,           0.0026987
                  61,            0.050618,            0.012198,           0.0067865,             0.72826,             0.79464,             0.77836,             0.25993,            0.063112,           0.0091343,           0.0084644,            0.002575,            0.002575,            0.002575
                  62,            0.051441,            0.013974,           0.0074804,             0.82162,             0.64002,             0.72407,             0.26803,            0.060302,           0.0091114,           0.0084114,           0.0024513,           0.0024513,           0.0024513
                  63,             0.05057,            0.013159,           0.0076703,             0.68231,             0.75893,             0.71827,             0.23931,            0.061396,           0.0090618,            0.008387,           0.0023275,           0.0023275,           0.0023275
                  64,            0.049964,            0.015012,           0.0067648,             0.69151,             0.69969,             0.74131,             0.30302,            0.057564,           0.0090351,           0.0083576,           0.0022038,           0.0022038,           0.0022038
                  65,            0.048363,            0.012347,           0.0068798,             0.68731,             0.66972,             0.67568,             0.26568,            0.062347,           0.0088444,           0.0083496,             0.00208,             0.00208,             0.00208
                  66,            0.049328,            0.012329,           0.0066037,             0.72839,             0.79464,             0.80104,             0.27676,            0.057587,            0.008913,            0.008334,           0.0019563,           0.0019563,           0.0019563
                  67,            0.049848,            0.012095,           0.0070661,             0.73501,             0.72321,             0.73357,             0.30444,            0.061183,           0.0087986,           0.0083344,           0.0018325,           0.0018325,           0.0018325
                  68,            0.048068,            0.011958,           0.0062505,             0.73154,             0.72321,             0.72903,             0.24605,            0.058243,           0.0088882,           0.0083145,           0.0017087,           0.0017087,           0.0017087
                  69,            0.047793,            0.010707,           0.0067919,             0.79441,             0.72321,             0.71888,             0.28798,            0.060091,            0.008791,           0.0082821,            0.001585,            0.001585,            0.001585
                  70,            0.048528,            0.013112,           0.0070176,             0.82889,             0.75446,             0.74738,             0.29798,            0.056867,           0.0088005,           0.0082375,           0.0014612,           0.0014612,           0.0014612
                  71,            0.050534,            0.011668,            0.006819,             0.77378,             0.79018,             0.79446,             0.31273,             0.05847,           0.0088196,           0.0082382,           0.0013375,           0.0013375,           0.0013375
                  72,            0.047456,              0.0123,           0.0070381,             0.69396,             0.79357,             0.71451,             0.29495,             0.05835,           0.0088673,           0.0082382,           0.0012138,           0.0012138,           0.0012138
                  73,            0.047837,            0.010209,           0.0061835,              0.8149,             0.82589,             0.79635,              0.3213,            0.057311,           0.0088825,           0.0082798,             0.00109,             0.00109,             0.00109
                  74,            0.046479,            0.011754,           0.0064609,             0.78013,             0.75446,             0.72939,             0.29954,            0.060103,            0.008873,           0.0082981,          0.00096625,          0.00096625,          0.00096625
                  75,            0.047006,            0.011301,           0.0062805,             0.73829,             0.81517,             0.72574,             0.30377,            0.057368,           0.0088902,           0.0082829,           0.0008425,           0.0008425,           0.0008425
                  76,            0.045503,            0.012629,           0.0066072,             0.81506,             0.79018,             0.78412,             0.29795,            0.058972,           0.0089054,           0.0082891,          0.00071875,          0.00071875,          0.00071875
                  77,            0.046231,             0.01143,           0.0060624,             0.81403,             0.79018,             0.78421,             0.31616,            0.056923,           0.0088844,           0.0082771,            0.000595,            0.000595,            0.000595
                  78,            0.046877,            0.011812,            0.006868,             0.81386,             0.79018,             0.78593,             0.30692,            0.058282,           0.0088387,           0.0082489,          0.00047125,          0.00047125,          0.00047125
                  79,            0.044102,             0.01164,           0.0061964,             0.85877,             0.79018,             0.78991,             0.29657,            0.058595,           0.0088406,           0.0082361,           0.0003475,           0.0003475,           0.0003475
